point,era,event_class,first_fired_at,last_active_at,max_severity,max_confidence,fired_conditions
thohoyandou,modern,flood,2014-01-06 20:00:00,2014-01-07 16:00:00,severe,1.0,rain_24|rain_48|rsat_24|rsat_72
mapai,modern,flash_flood,2014-01-06 21:00:00,2014-01-07 04:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
mapai,modern,flood,2014-01-07 02:00:00,2014-01-08 00:00:00,severe,1.0,rain_24|rain_48|rsat_24|rsat_72
pafuri,modern,flood,2014-01-07 06:00:00,2014-01-07 18:00:00,severe,1.0,rain_24|rain_48|rsat_24|rsat_72
mapai,modern,flash_flood,2014-01-26 11:00:00,2014-01-26 19:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
chokwe,modern,flash_flood,2014-01-26 12:00:00,2014-01-26 12:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
pafuri,modern,flash_flood,2014-01-26 17:00:00,2014-01-26 22:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
thohoyandou,modern,flash_flood,2014-01-26 22:00:00,2014-01-27 00:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
musina,modern,flash_flood,2014-01-26 23:00:00,2014-01-27 02:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
pafuri,modern,flood,2014-01-27 11:00:00,2014-01-27 19:00:00,severe,1.0,rain_24|rain_48|rsat_24|rsat_72
musina,modern,flash_flood,2014-01-28 04:00:00,2014-01-28 04:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
chokwe,modern,flash_flood,2014-12-16 12:00:00,2014-12-16 21:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
xai_xai,modern,flash_flood,2014-12-16 12:00:00,2014-12-16 20:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
musina,modern,flash_flood,2014-12-27 01:00:00,2014-12-27 10:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
pafuri,modern,flash_flood,2014-12-27 01:00:00,2014-12-27 10:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
