event_class,feature,lead_h,auc,abs_auc,cliffs_delta,robust_d,median_event,median_control,n_event,n_control
flood,tcwv_anom_7d,12,0.6173891616506167,0.6173891616506167,0.2347783233012335,0.30400702357292175,2.4779746532440186,0.32857292890548706,2429,4831
flood,blh,12,0.5142852115988101,0.5142852115988101,0.028570423197620265,0.06521739065647125,430.0,385.0,2429,4832
flood,blh_delta_24h,12,0.5127021312561515,0.5127021312561515,0.02540426251230299,0.021276595070958138,5.0,0.0,2429,4832
flood,snow_accum_14d,12,0.5009176631145444,0.5009176631145444,0.001835326229088885,,0.0,0.0,2429,4858
flood,snowmelt_proxy,12,0.5034129423846376,0.5034129423846376,0.006825884769275259,,0.0,0.0,2429,4858
flood,rain_on_sat_6h,12,0.6344903125548713,0.6344903125548713,0.26898062510974263,0.34376072883605957,0.711384654045105,0.01907692290842533,2429,4837
flood,rain_on_sat_24h,12,0.644980501865977,0.644980501865977,0.289961003731954,0.44423437118530273,3.932307720184326,0.4615384638309479,2429,4837
flood,rain_on_sat_72h,12,0.6377747844446962,0.6377747844446962,0.2755495688893923,0.4215112328529358,12.328615188598633,3.4427692890167236,2429,4837
flood,precip_1h,24,0.5816730765091294,0.5816730765091294,0.16334615301825872,0.0,0.0,0.0,2429,4858
flood,precip_sum_3h,24,0.5885069273247423,0.5885069273247423,0.1770138546494846,0.0,0.0,0.0,2429,4858
flood,precip_sum_6h,24,0.5920247842345502,0.5920247842345502,0.18404956846910037,0.1875,0.30000001192092896,0.0,2429,4858
flood,precip_sum_12h,24,0.6056043932576062,0.6056043932576062,0.21120878651521235,0.28205129504203796,1.3000000715255737,0.20000000298023224,2429,4858
flood,precip_sum_24h,24,0.6066488775247494,0.6066488775247494,0.21329775504949877,0.3297872245311737,4.699999809265137,1.5999999046325684,2429,4858
flood,precip_sum_48h,24,0.6037284317176779,0.6037284317176779,0.20745686343535574,0.3027026951313019,10.5,4.900000095367432,2429,4858
flood,precip_sum_72h,24,0.5974680091206146,0.5974680091206146,0.1949360182412292,0.2742537260055542,16.200000762939453,8.850000381469727,2429,4858
flood,api_96h,24,0.5919604202750456,0.5919604202750456,0.18392084055009117,0.23271988332271576,32.853546142578125,22.8829288482666,2429,4858
flood,wet_spell_h,24,0.5795946163763946,0.5795946163763946,0.1591892327527893,0.0,0.0,0.0,2429,4858
flood,wet_frac_72h,24,0.5826556967993951,0.5826556967993951,0.1653113935987902,0.22580648958683014,0.3333333432674408,0.2361111044883728,2429,4858
flood,sm_0_7,24,0.5643789088722149,0.5643789088722149,0.12875781774442974,0.18562886118888855,0.3930000066757202,0.3619999885559082,2429,4837
flood,sm_delta_7d,24,0.5761680517262936,0.5761680517262936,0.1523361034525872,0.1428571492433548,0.006000000052154064,-0.000999998301267624,2429,4837
flood,sm_pct,24,0.5904565832555471,0.5904565832555471,0.18091316651109413,0.2908163070678711,0.6613418459892273,0.4792332351207733,2429,4837
flood,sm_sat_ratio,24,0.5851687381454741,0.5851687381454741,0.1703374762909482,0.21258074045181274,0.922636091709137,0.8878504633903503,2399,4767
flood,sm_7_28,24,0.5549897000384626,0.5549897000384626,0.1099794000769252,0.16568045318126678,0.3840000033378601,0.35600000619888306,2429,4837
flood,sm2_delta_7d,24,0.5621334125679532,0.5621334125679532,0.12426682513590648,0.11110963672399521,0.001999974250793457,-0.001999974250793457,2429,4837
flood,mslp_hpa,24,0.4428757783208625,0.5571242216791374,-0.114248443358275,-0.15068183839321136,1010.2000122070312,1011.2999877929688,2429,4858
flood,mslp_tend_3h,24,0.47169697634304575,0.5283030236569543,-0.0566060473139085,-0.06666666269302368,0.4000000059604645,0.5,2429,4858
flood,mslp_tend_6h,24,0.45834274710972345,0.5416572528902766,-0.0833145057805531,-0.1428571492433548,0.0,0.30000001192092896,2429,4858
flood,mslp_tend_24h,24,0.4469467669800939,0.553053233019906,-0.10610646603981222,-0.12000000476837158,-0.30000001192092896,0.0,2429,4858
flood,gust,24,0.5652957326906711,0.5652957326906711,0.13059146538134225,0.18918927013874054,5.300000190734863,4.599999904632568,2429,4858
flood,gust_delta_6h,24,0.5185441084222974,0.5185441084222974,0.037088216844594735,0.0,0.0,0.0,2429,4858
flood,gust_max_24h,24,0.5459179012484828,0.5459179012484828,0.09183580249696566,0.10256399214267731,9.199999809265137,8.800000190734863,2429,4858
flood,wspd_10m,24,0.5386379942105487,0.5386379942105487,0.0772759884210974,0.113153837621212,2.024845838546753,1.8027757406234741,2429,4858
flood,wspd_delta_6h,24,0.5250635546430948,0.5250635546430948,0.050127109286189686,0.06844747811555862,0.0,-0.0767524242401123,2429,4858
flood,gust_factor,24,0.5143827814077903,0.5143827814077903,0.028765562815580514,0.01778958924114704,2.444939613342285,2.41585636138916,2429,4858
flood,dir_veer_6h,24,0.4729567327067851,0.5270432672932148,-0.05408653458642976,-0.06937442719936371,16.47942543029785,18.56606101989746,1780,3485
flood,dewpoint_dep,24,0.426855296429296,0.573144703570704,-0.14628940714140803,-0.18644097447395325,1.8500003814697266,2.400001049041748,2429,4858
flood,theta_e,24,0.5226886982649782,0.5226886982649782,0.045377396529956426,0.06461727619171143,333.501708984375,331.49798583984375,2429,4858
flood,theta_e_delta_24h,24,0.5271012523472295,0.5271012523472295,0.054202504694458975,0.06078943610191345,0.4353918731212616,0.15436768531799316,2429,4858
flood,tcwv,24,0.5672685390930233,0.5672685390930233,0.13453707818604665,0.17845115065574646,42.29999923706055,37.0,2429,4832
flood,tcwv_anom_7d,24,0.5930259570519372,0.5930259570519372,0.18605191410387434,0.23567357659339905,1.6190475225448608,-0.03333241492509842,2429,4831
flood,blh,24,0.5361700267736157,0.5361700267736157,0.07234005354723139,0.1184210553765297,265.0,220.0,2429,4832
flood,blh_delta_24h,24,0.5347566245613844,0.5347566245613844,0.0695132491227688,0.03125,5.0,0.0,2429,4832
flood,snow_accum_14d,24,0.5005248268613727,0.5005248268613727,0.0010496537227453473,,0.0,0.0,2429,4858
flood,snowmelt_proxy,24,0.5038308208366687,0.5038308208366687,0.007661641673337494,,0.0,0.0,2429,4858
flood,rain_on_sat_6h,24,0.5949358302565658,0.5949358302565658,0.18987166051313165,0.09806694835424423,0.09968051314353943,0.0,2429,4837
flood,rain_on_sat_24h,24,0.6103566213266357,0.6103566213266357,0.2207132426532714,0.3166961371898651,2.506070375442505,0.44440895318984985,2429,4837
flood,rain_on_sat_72h,24,0.6061125418150011,0.6061125418150011,0.21222508363000214,0.3145988881587982,9.561661720275879,3.5412142276763916,2429,4837
flood,precip_1h,48,0.546399592816389,0.546399592816389,0.09279918563277789,0.0,0.0,0.0,2429,4858
flood,precip_sum_3h,48,0.5505482080548254,0.5505482080548254,0.10109641610965081,0.0,0.0,0.0,2429,4858
flood,precip_sum_6h,48,0.5539572097888811,0.5539572097888811,0.10791441957776216,0.07692307233810425,0.10000000149011612,0.0,2429,4858
flood,precip_sum_12h,48,0.5680361797485814,0.5680361797485814,0.1360723594971629,0.1764705926179886,0.800000011920929,0.20000000298023224,2429,4858
flood,precip_sum_24h,48,0.5722218286279706,0.5722218286279706,0.1444436572559411,0.1910112500190735,3.4000000953674316,1.7000000476837158,2429,4858
flood,precip_sum_48h,48,0.5699294293039658,0.5699294293039658,0.13985885860793168,0.21468926966190338,8.699999809265137,4.900000095367432,2429,4858
flood,precip_sum_72h,48,0.572672079736395,0.572672079736395,0.14534415947279,0.22352944314479828,14.600000381469727,8.899999618530273,2429,4858
flood,api_96h,48,0.5725846650896155,0.5725846650896155,0.14516933017923095,0.19777067005634308,30.471887588500977,22.192577362060547,2429,4858
flood,wet_spell_h,48,0.5460608663566914,0.5460608663566914,0.09212173271338275,0.0,0.0,0.0,2429,4858
flood,wet_frac_72h,48,0.5606362311719528,0.5606362311719528,0.12127246234390565,0.20000003278255463,0.3194444477558136,0.2361111044883728,2429,4858
flood,sm_0_7,48,0.5514914240468163,0.5514914240468163,0.10298284809363256,0.14814819395542145,0.3869999945163727,0.3619999885559082,2429,4837
flood,sm_delta_7d,48,0.5470537797859542,0.5470537797859542,0.0941075595719083,0.08163252472877502,0.0029999911785125732,-0.0010000020265579224,2429,4836
flood,sm_pct,48,0.556820397660309,0.556820397660309,0.113640795320618,0.1783783882856369,0.5951557159423828,0.4809688627719879,2429,4837
flood,sm_sat_ratio,48,0.5602838518711523,0.5602838518711523,0.12056770374230452,0.15286511182785034,0.9162790179252625,0.892086386680603,2396,4767
flood,sm_7_28,48,0.5446126260344114,0.5446126260344114,0.08922525206882281,0.14035098254680634,0.3790000081062317,0.35499998927116394,2429,4837
flood,sm2_delta_7d,48,0.5456675115037112,0.5456675115037112,0.09133502300742236,0.05555544048547745,0.0,-0.001999996602535248,2429,4836
flood,mslp_hpa,48,0.4708637194216108,0.5291362805783892,-0.05827256115677837,-0.07042277604341507,1010.7000122070312,1011.2000122070312,2429,4858
flood,mslp_tend_3h,48,0.4772852849666638,0.5227147150333362,-0.04542943006667244,-0.06666668504476547,0.5,0.6000000238418579,2429,4858
